threshold,flops,non_zero_params,params_reduction_pct,flops_reduction_pct,accuracy,overall_f1,overall_precision,overall_recall,ham_accuracy,ham_f1,ham_precision,ham_recall,spam_accuracy,spam_f1,spam_precision,spam_recall,model,smooth_accuracy,smooth_overall_f1,smooth_ham_accuracy,smooth_ham_f1,smooth_spam_accuracy,smooth_spam_f1
0.0,58720256.0,4386178,0.0,0.0,0.95,0.9498939756524806,0.9538413128721498,0.95,0.996,0.9521988527724664,0.912087912087912,0.996,0.904,0.9475890985324948,0.9955947136563876,0.904,mrm8488_bert-tiny-finetuned-sms-spam-detection,0.95,0.9498939756524806,0.996,0.9521988527724664,0.904,0.9475890985324948
0.1,58192839.37318367,4346782,0.8981851625720627,0.8981851625720627,0.95,0.9498939756524806,0.9538413128721498,0.95,0.996,0.9521988527724664,0.912087912087912,0.996,0.904,0.9475890985324948,0.9955947136563876,0.904,mrm8488_bert-tiny-finetuned-sms-spam-detection,0.95,0.9498939756524806,0.996,0.9521988527724664,0.904,0.9475890985324948
0.2,57669479.1794551,4307689,1.7894622607655175,1.7894622607655175,0.95,0.9498939756524806,0.9538413128721498,0.95,0.996,0.9521988527724664,0.912087912087912,0.996,0.904,0.9475890985324948,0.9955947136563876,0.904,mrm8488_bert-tiny-finetuned-sms-spam-detection,0.95,0.9498939756524806,0.996,0.9521988527724664,0.904,0.9475890985324948
0.3,57142839.03157966,4268351,2.686325087581942,2.686325087581942,0.95,0.9498939756524806,0.9538413128721498,0.95,0.996,0.9521988527724664,0.912087912087912,0.996,0.904,0.9475890985324948,0.9955947136563876,0.904,mrm8488_bert-tiny-finetuned-sms-spam-detection,0.95,0.9498939756524806,0.996,0.9521988527724664,0.904,0.9475890985324948
0.4,56619184.31135626,4229236,3.578103761406859,3.578103761406859,0.95,0.9498939756524806,0.9538413128721498,0.95,0.996,0.9521988527724664,0.912087912087912,0.996,0.904,0.9475890985324948,0.9955947136563876,0.904,mrm8488_bert-tiny-finetuned-sms-spam-detection,0.95,0.9498939756524806,0.996,0.9521988527724664,0.904,0.9475890985324948
0.5,56094967.31327912,4190079,4.470839988709985,4.470839988709995,0.95,0.9498939756524806,0.9538413128721498,0.95,0.996,0.9521988527724664,0.912087912087912,0.996,0.904,0.9475890985324948,0.9955947136563876,0.904,mrm8488_bert-tiny-finetuned-sms-spam-detection,0.95,0.9498939756524806,0.996,0.9521988527724664,0.904,0.9475890985324948
0.6000000000000001,55573173.46500028,4151103,5.359449616499834,5.359449616499834,0.95,0.9498939756524806,0.9538413128721498,0.95,0.996,0.9521988527724664,0.912087912087912,0.996,0.904,0.9475890985324948,0.9955947136563876,0.904,mrm8488_bert-tiny-finetuned-sms-spam-detection,0.95,0.9498939756524806,0.996,0.9521988527724664,0.904,0.9475890985324948
0.7000000000000001,55052303.35890974,4112196,6.246486120718309,6.246486120718309,0.949,0.948887091585312,0.9530027321411996,0.949,0.996,0.9512893982808024,0.9104204753199268,0.996,0.902,0.9464847848898216,0.9955849889624724,0.902,mrm8488_bert-tiny-finetuned-sms-spam-detection,0.949,0.948887091585312,0.996,0.9512893982808024,0.902,0.9464847848898216
0.8,54525033.99534082,4072811,7.144420495474646,7.144420495474646,0.949,0.948887091585312,0.9530027321411996,0.949,0.996,0.9512893982808024,0.9104204753199268,0.996,0.902,0.9464847848898216,0.9955849889624724,0.902,mrm8488_bert-tiny-finetuned-sms-spam-detection,0.949,0.948887091585312,0.996,0.9512893982808024,0.902,0.9464847848898216
0.9,54001888.00269939,4033734,8.035332811390694,8.035332811390694,0.949,0.948887091585312,0.9530027321411996,0.949,0.996,0.9512893982808024,0.9104204753199268,0.996,0.902,0.9464847848898216,0.9955849889624724,0.902,mrm8488_bert-tiny-finetuned-sms-spam-detection,0.949,0.948887091585312,0.996,0.9512893982808024,0.902,0.9464847848898216
1.0,53479866.565765455,3994741,8.92433002035029,8.92433002035029,0.949,0.948887091585312,0.9530027321411996,0.949,0.996,0.9512893982808024,0.9104204753199268,0.996,0.902,0.9464847848898216,0.9955849889624724,0.902,mrm8488_bert-tiny-finetuned-sms-spam-detection,0.949,0.948887091585312,0.996,0.9512893982808024,0.902,0.9464847848898216
1.1,52961673.973264195,3956034,9.80680674610105,9.80680674610105,0.949,0.948887091585312,0.9530027321411996,0.949,0.996,0.9512893982808024,0.9104204753199268,0.996,0.902,0.9464847848898216,0.9955849889624724,0.902,mrm8488_bert-tiny-finetuned-sms-spam-detection,0.949,0.948887091585312,0.996,0.9512893982808024,0.902,0.9464847848898216
1.2000000000000002,52442437.15046311,3917249,10.691061785454217,10.691061785454217,0.949,0.948887091585312,0.9530027321411996,0.949,0.996,0.9512893982808024,0.9104204753199268,0.996,0.902,0.9464847848898216,0.9955849889624724,0.902,mrm8488_bert-tiny-finetuned-sms-spam-detection,0.949,0.948887091585312,0.996,0.9512893982808024,0.902,0.9464847848898216
1.3,51927296.92345363,3878770,11.568340363751773,11.568340363751773,0.95,0.9498939756524806,0.9538413128721498,0.95,0.996,0.9521988527724664,0.912087912087912,0.996,0.904,0.9475890985324948,0.9955947136563876,0.904,mrm8488_bert-tiny-finetuned-sms-spam-detection,0.95,0.9498939756524806,0.996,0.9521988527724664,0.904,0.9475890985324948
1.4,51412062.98346852,3840284,12.445778534295693,12.445778534295703,0.949,0.948887091585312,0.9530027321411996,0.949,0.996,0.9512893982808024,0.9104204753199268,0.996,0.902,0.9464847848898216,0.9955849889624724,0.902,mrm8488_bert-tiny-finetuned-sms-spam-detection,0.949,0.948887091585312,0.996,0.9512893982808024,0.902,0.9464847848898216
1.5,50894633.48234021,3801634,13.326955723183143,13.326955723183143,0.947,0.9468724407301932,0.9513346176680844,0.947,0.996,0.9494756911344138,0.907103825136612,0.996,0.898,0.9442691903259728,0.9955654101995566,0.898,mrm8488_bert-tiny-finetuned-sms-spam-detection,0.947,0.9468724407301932,0.996,0.9494756911344138,0.898,0.9442691903259728
1.6,50380242.959135726,3763211,14.202957563509733,14.202957563509722,0.949,0.948887091585312,0.9530027321411996,0.949,0.996,0.9512893982808024,0.9104204753199268,0.996,0.902,0.9464847848898216,0.9955849889624724,0.902,mrm8488_bert-tiny-finetuned-sms-spam-detection,0.949,0.948887091585312,0.996,0.9512893982808024,0.902,0.9464847848898216
1.7000000000000002,49864768.04292758,3724707,15.080806114115752,15.080806114115752,0.949,0.948887091585312,0.9530027321411996,0.949,0.996,0.9512893982808024,0.9104204753199268,0.996,0.902,0.9464847848898216,0.9955849889624724,0.902,mrm8488_bert-tiny-finetuned-sms-spam-detection,0.949,0.948887091585312,0.996,0.9512893982808024,0.902,0.9464847848898216
1.8,49350350.7445872,3686282,15.956853552227024,15.956853552227024,0.949,0.948887091585312,0.9530027321411996,0.949,0.996,0.9512893982808024,0.9104204753199268,0.996,0.902,0.9464847848898216,0.9955849889624724,0.902,mrm8488_bert-tiny-finetuned-sms-spam-detection,0.949,0.948887091585312,0.996,0.9512893982808024,0.902,0.9464847848898216
1.9,48844581.815140195,3648503,16.81817290588754,16.81817290588754,0.949,0.948887091585312,0.9530027321411996,0.949,0.996,0.9512893982808024,0.9104204753199268,0.996,0.902,0.9464847848898216,0.9955849889624724,0.902,mrm8488_bert-tiny-finetuned-sms-spam-detection,0.949,0.948887091585312,0.996,0.9512893982808024,0.902,0.9464847848898216
