threshold,flops,non_zero_params,params_reduction_pct,flops_reduction_pct,accuracy,overall_f1,overall_precision,overall_recall,ham_accuracy,ham_f1,ham_precision,ham_recall,spam_accuracy,spam_f1,spam_precision,spam_recall,model,smooth_accuracy,smooth_overall_f1,smooth_ham_accuracy,smooth_ham_f1,smooth_spam_accuracy,smooth_spam_f1
0.0,11173625856.0,109483778,0.0,0.0,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,fzn0x_bert-spam-classification-model,0.99,0.99,0.99,0.99,0.99,0.99
0.1,10811443455.596508,105934966,3.2414044023946653,3.241404402394654,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,fzn0x_bert-spam-classification-model,0.99,0.99,0.99,0.99,0.99,0.99
0.2,10455347450.249409,102445791,6.428337721411115,6.428337721411115,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,fzn0x_bert-spam-classification-model,0.99,0.99,0.99,0.99,0.99,0.99
0.3,10110636045.9878,99068167,9.513382886732312,9.513382886732312,0.989,0.988999988999989,0.989001956007824,0.989,0.99,0.989010989010989,0.9880239520958084,0.99,0.988,0.988988988988989,0.9899799599198396,0.988,fzn0x_bert-spam-classification-model,0.989,0.988999988999989,0.99,0.989010989010989,0.988,0.988988988988989
0.4,9781439402.30222,95842563,12.459576431496544,12.459576431496554,0.989,0.988999988999989,0.989001956007824,0.989,0.99,0.989010989010989,0.9880239520958084,0.99,0.988,0.988988988988989,0.9899799599198396,0.988,fzn0x_bert-spam-classification-model,0.989,0.988999988999989,0.99,0.989010989010989,0.988,0.988988988988989
0.5,9470504086.990477,92795891,15.242337545202355,15.242337545202345,0.993,0.9929998249956248,0.993049304930493,0.993,0.998,0.9930348258706468,0.988118811881188,0.998,0.988,0.992964824120603,0.997979797979798,0.988,fzn0x_bert-spam-classification-model,0.993,0.9929998249956248,0.998,0.9930348258706468,0.988,0.992964824120603
0.6000000000000001,9180005861.009806,89949470,17.842193936712704,17.842193936712704,0.993,0.9929998249956248,0.993049304930493,0.993,0.998,0.9930348258706468,0.988118811881188,0.998,0.988,0.992964824120603,0.997979797979798,0.988,fzn0x_bert-spam-classification-model,0.993,0.9929998249956248,0.998,0.9930348258706468,0.988,0.992964824120603
0.7000000000000001,8909657228.763958,87300483,20.2617185899449,20.2617185899449,0.993,0.9929998249956248,0.993049304930493,0.993,0.998,0.9930348258706468,0.988118811881188,0.998,0.988,0.992964824120603,0.997979797979798,0.988,fzn0x_bert-spam-classification-model,0.993,0.9929998249956248,0.998,0.9930348258706468,0.988,0.992964824120603
0.8,8659572800.67345,84850053,22.49988578216583,22.49988578216583,0.993,0.9929998249956248,0.993049304930493,0.993,0.998,0.9930348258706468,0.988118811881188,0.998,0.988,0.992964824120603,0.997979797979798,0.988,fzn0x_bert-spam-classification-model,0.993,0.9929998249956248,0.998,0.9930348258706468,0.988,0.992964824120603
0.9,8427649582.682042,82577574,24.57551656648166,24.57551656648166,0.99,0.9899993599590372,0.9901254721208628,0.99,0.998,0.9900793650793652,0.9822834645669292,0.998,0.982,0.9899193548387096,0.9979674796747968,0.982,fzn0x_bert-spam-classification-model,0.99,0.9899993599590372,0.998,0.9900793650793652,0.982,0.9899193548387096
1.0,8212714221.268205,80471549,26.49911204196844,26.49911204196844,0.989,0.9889986688389296,0.9892367906066536,0.989,1.0,0.9891196834817012,0.9784735812133072,1.0,0.978,0.9888776541961576,1.0,0.978,fzn0x_bert-spam-classification-model,0.989,0.9889986688389296,1.0,0.9891196834817012,0.978,0.9888776541961576
1.1,8013147168.112104,78516109,28.28516659335596,28.28516659335596,0.989,0.9889986688389296,0.9892367906066536,0.989,1.0,0.9891196834817012,0.9784735812133072,1.0,0.978,0.9888776541961576,1.0,0.978,fzn0x_bert-spam-classification-model,0.989,0.9889986688389296,1.0,0.9891196834817012,0.978,0.9888776541961576
1.2000000000000002,7826832161.700095,76690518,29.952620012802267,29.952620012802267,0.986,0.9859972554620706,0.9863813229571984,0.986,1.0,0.9861932938856016,0.9727626459143968,1.0,0.972,0.9858012170385396,1.0,0.972,fzn0x_bert-spam-classification-model,0.986,0.9859972554620706,1.0,0.9861932938856016,0.972,0.9858012170385396
1.3,7652045351.085661,74977885,31.516900156660657,31.516900156660657,0.979,0.9789907349140972,0.9798464491362764,0.979,1.0,0.9794319294809012,0.9596928982725528,1.0,0.958,0.9785495403472932,1.0,0.958,fzn0x_bert-spam-classification-model,0.979,0.9789907349140972,1.0,0.9794319294809012,0.958,0.9785495403472932
1.4,7487629711.925617,73366873,32.988361983635606,32.988361983635606,0.975,0.9749843652282676,0.9761904761904762,0.975,1.0,0.975609756097561,0.9523809523809524,1.0,0.95,0.9743589743589745,1.0,0.95,fzn0x_bert-spam-classification-model,0.975,0.9749843652282676,1.0,0.975609756097561,0.95,0.9743589743589745
1.5,7331903951.194512,71841008,34.382052471736955,34.382052471736955,0.964,0.963953283455358,0.9664179104477612,0.964,1.0,0.9652509652509652,0.9328358208955224,1.0,0.928,0.9626556016597512,1.0,0.928,fzn0x_bert-spam-classification-model,0.964,0.963953283455358,1.0,0.9652509652509652,0.928,0.9626556016597512
1.6,7183989048.810505,70391677,35.70583853984286,35.70583853984286,0.937,0.9367489566087802,0.9440497335701598,0.937,1.0,0.940733772342427,0.8880994671403197,1.0,0.874,0.9327641408751334,1.0,0.874,fzn0x_bert-spam-classification-model,0.937,0.9367489566087802,1.0,0.940733772342427,0.874,0.9327641408751334
