threshold,flops,non_zero_params,params_reduction_pct,flops_reduction_pct,overall_accuracy,overall_f1,overall_precision,overall_recall,ham_accuracy,ham_f1,ham_precision,ham_recall,spam_accuracy,spam_f1,spam_precision,spam_recall
0.0,11173557016.753521,278043473,0.0,0.0,0.915,0.9144103730600105,0.926759792851825,0.915,0.998,0.9215143120960295,0.855917667238422,0.998,0.832,0.9073064340239912,0.9976019184652278,0.832
0.1,11045463133.043926,274855977,1.1464020232548333,1.1464020232548333,0.915,0.9144103730600105,0.926759792851825,0.915,0.998,0.9215143120960295,0.855917667238422,0.998,0.832,0.9073064340239912,0.9976019184652278,0.832
0.2,10907652266.19358,271426683,2.379768145105854,2.379768145105854,0.914,0.9133888718799851,0.9260241043203372,0.914,0.998,0.9206642066420664,0.8544520547945206,0.998,0.83,0.9061135371179039,0.9975961538461539,0.83
0.30000000000000004,10767988446.152403,267951280,3.629717644909436,3.629717644909425,0.918,0.9174718196457327,0.9289819376026273,0.918,0.998,0.924074074074074,0.8603448275862069,0.998,0.838,0.9108695652173913,0.9976190476190476,0.838
0.4,10629795286.393852,264512473,4.8665051741746845,4.8665051741746845,0.917,0.9164518405256891,0.9282386963469288,0.917,0.998,0.9232192414431082,0.8588640275387264,0.998,0.836,0.9096844396082698,0.9976133651551312,0.836
0.5,10494441574.760498,261144323,6.077880490292964,6.077880490292964,0.919,0.9184913042296976,0.9297277228738221,0.919,0.998,0.9249304911955515,0.8618307426597582,0.998,0.84,0.9120521172638436,0.997624703087886,0.84
0.6000000000000001,10352446021.153385,257610897,7.34869830949062,7.348698309490609,0.928,0.9276454627675611,0.9365565075479396,0.928,0.998,0.9327102803738317,0.875438596491228,0.998,0.858,0.9225806451612903,0.9976744186046511,0.858
0.7000000000000001,10215529823.389065,254203866,8.574057410079893,8.574057410079883,0.923,0.9225644248900063,0.9327365728900257,0.923,0.998,0.9283720930232559,0.8678260869565217,0.998,0.848,0.9167567567567567,0.9976470588235294,0.848
0.8,10102257917.565086,251385201,9.587807155609795,9.587807155609795,0.921,0.9205531112507856,0.930690537084399,0.921,0.996,0.9265116279069767,0.8660869565217392,0.996,0.846,0.9145945945945946,0.9952941176470588,0.846
0.9,9982412325.845592,248402956,10.660389427663352,10.660389427663352,0.925,0.9246200094677267,0.9337460554623426,0.925,0.996,0.9299719887955182,0.87215411558669,0.996,0.854,0.9192680301399354,0.9953379953379954,0.854
1.0,9865983419.225271,245505732,11.702393387957722,11.702393387957722,0.904,0.903144181992082,0.918802142940074,0.904,0.998,0.9122486288848263,0.8400673400673401,0.998,0.81,0.8940397350993378,0.9975369458128078,0.81
1.1,9748948100.328613,242593418,12.74982455711161,12.74982455711161,0.867,0.8646777346035313,0.8940491068936046,0.867,0.998,0.8824049513704686,0.7908082408874801,0.998,0.736,0.8469505178365938,0.997289972899729,0.736
1.2000000000000002,9631101820.548157,239660924,13.80451358410416,13.804513584104171,0.825,0.8194713088330109,0.8703703703703703,0.825,1.0,0.851063829787234,0.7407407407407407,1.0,0.65,0.7878787878787878,1.0,0.65
1.3,9518710759.699995,236864178,14.81038003003221,14.81038003003221,0.711,0.6846627145848405,0.8168567807351078,0.711,1.0,0.7757951900698216,0.6337135614702155,1.0,0.422,0.5935302390998594,1.0,0.422
1.4000000000000001,9419198987.389357,234387921,15.70098068800917,15.70098068800917,0.728,0.7062685741931025,0.8238341968911918,0.728,1.0,0.7861635220125787,0.6476683937823834,1.0,0.456,0.6263736263736264,1.0,0.456
1.5,9340505521.326775,232429708,16.40526371931773,16.40526371931773,0.61,0.5400400990682864,0.7808988764044943,0.61,1.0,0.7194244604316546,0.5617977528089888,1.0,0.22,0.36065573770491804,1.0,0.22
1.6,9240589233.047043,229943385,17.29948467447031,17.29948467447032,0.61,0.5400400990682864,0.7808988764044943,0.61,1.0,0.7194244604316546,0.5617977528089888,1.0,0.22,0.36065573770491804,1.0,0.22
1.7000000000000002,9146319209.687792,227597564,18.14317324399124,18.143173243991228,0.539,0.41458756360487076,0.7601456815816857,0.539,1.0,0.6844626967830253,0.5202913631633714,1.0,0.078,0.14471243042671614,1.0,0.078
1.8,9058889147.091053,225421949,18.925646206411763,18.925646206411763,0.517,0.37003642832827494,0.754323499491353,0.517,1.0,0.6743088334457181,0.508646998982706,1.0,0.034,0.06576402321083172,1.0,0.034
1.9000000000000001,8974008547.79605,223309775,19.685302233295012,19.685302233295012,0.506,0.3465297289288908,0.7515090543259557,0.506,1.0,0.6693440428380187,0.5030181086519114,1.0,0.012,0.023715415019762844,1.0,0.012
2.0,8891486486.373693,221256291,20.423850050240166,20.423850050240166,0.504,0.34216110686698925,0.751004016064257,0.504,1.0,0.6684491978609626,0.5020080321285141,1.0,0.008,0.015873015873015872,1.0,0.008
2.1,8810434522.624828,219239389,21.149240931830825,21.14924093183084,0.5,0.3333333333333333,0.25,0.5,1.0,0.6666666666666666,0.5,1.0,0.0,0.0,0.0,0.0
2.2,8730728561.048508,217255981,21.86258549575807,21.86258549575807,0.501,0.33555171178656695,0.7502502502502503,0.501,1.0,0.66711140760507,0.5005005005005005,1.0,0.002,0.003992015968063872,1.0,0.002
2.3000000000000003,8651783126.465538,215291498,22.56912357011164,22.56912357011165,0.5,0.3333333333333333,0.25,0.5,1.0,0.6666666666666666,0.5,1.0,0.0,0.0,0.0,0.0
2.4000000000000004,8575478418.423505,213392727,23.25202793017911,23.25202793017911,0.5,0.3333333333333333,0.25,0.5,1.0,0.6666666666666666,0.5,1.0,0.0,0.0,0.0,0.0
